Date,Type,Indicator,Name
2020-02-09,SHA256,113776d3cc8409da498e898bc5e0cafc1762ce1d49e1a86c56b4d841b06efdf8,SppExtComTel.exe
2020-02-09,URL Requested,http://awsyscloud.com/E@t!aBbU0le8hiInks/cred!tors.php,
2020-02-09,Domain C2,awsyscloud.com,
2020-02-09,IP C2,167.172.176.246,
2020-02-09,SHA256,662c3b181467a9d2f40a7b632a4b5fe5ddd201a528ba408badbf7b2375ee3553,DSOP_Advance.xls
2020-02-09,URL Requested,http://www.awsyscloud.com/x64i.scr,
2020-02-09,URL Requested,http://awsyscloud.com/E@t!aBbU0le8hiInks/cred!tors.php,
2020-02-09,URL Requested,http://awsyscloud.com/E@t!aBbU0le8hiInks/ballenotapey.php,
2020-02-09,URL Requested,http://awsyscloud.com/E@t!aBbU0le8hiInks/D/3500/p2ehtHero0paSth3end.dll,
2020-02-09,URL Requested,http://awsyscloud.com/E@t!aBbU0le8hiInks/B/3500/m1ssh0upUuchCukXanevPozlu.dll,
2020-02-09,URL Requested,http://awsyscloud.com/H!pT0pNSc3nd/eNn!T5eals/Pon0N.php,
2020-02-09,URL Requested,http://awsyscloud.com/H!pT0pNSc3nd/eNn!T5eals/Cor2PoRJSet!On.php,
2020-02-09,URL Requested,http://awsyscloud.com/H!pT0pNSc3nd/eNn!T5eals/f3dlPr00f.php,
2020-02-09,URL Requested,http://awsyscloud.com/H!pT0pNSc3nd/eNn!T5eals/pR0T5o-Niums.php,
2020-02-09,URL Requested,http://awsyscloud.com/H!pT0pNSc3nd/eNn!T5eals/Dev3l2Nmpo7nt.php,
2020-02-09,URL Requested,http://awsyscloud.com/H!pT0pNSc3nd/eNn!T5eals/xwunThedic@t6.php,
2020-02-09,SHA256,7b455b78698f03c0201b2617fe94c70eb89154568b80e0c9d2a871d648ed6665,x64i.scr
2020-02-09,SHA256,8e170fab8cdf11b83089706a2bf4a1748844693f4c6f465e7ba89131df089b48,p2ehtHero0paSth3end.dll
2020-02-09,SHA256,08c0c431f7f63136091854af58cd7f9e6d229f90a9b0fda813c52232c030f6ea,winpotter.dll
2020-02-09,SHA256,39567c9bbbc038574fd1cf569f4f7cfd68403cd817984186b83098ded2433b2c,SppExtComTel.scr
