Date,Rule,Collection,Type,Description,Reference,Detection,Hash,Link VT,Hashtag
03/02/2020 12:55,APT_APT28_Samples_Nov18_1,Russian Threat Groups,Valhalla Rule Feed Only,Detects Sofacy samples noticed in Nov 18,-,42 / 72,15743d9d62e1f00ba8b281b55d44134c5a449c3fbcd2769bb70bd6d3525dcaff,https://www.virustotal.com/gui/file/15743d9d62e1f00ba8b281b55d44134c5a449c3fbcd2769bb70bd6d3525dcaff,#apt #apt28 #samples #russianthreatgroups #apt_apt28_samples_nov18_1
03/02/2020 12:47,APT_Malware_Mar19_1,APT Malware,Valhalla Rule Feed Only,Detects backdoor mentioned in ClearSky report in March 2019,https://twitter.com/ClearskySec/status/1110941178231484417,19 / 73,c096108fb634e37ea763ac919ea7681afaed25eb94f7045cf62742d5c39a5093,https://www.virustotal.com/gui/file/c096108fb634e37ea763ac919ea7681afaed25eb94f7045cf62742d5c39a5093,#apt #aptmalware #apt_malware_mar19_1
03/02/2020 12:45,APT_NK_MAL_Malware_Unknown_Nov19_1,North Korean Threat Groups,-,-,-,44 / 72,287bfc917794e1667dc0674b78ccd5d0371d0190c37aa60e9a4d674678b4b821,https://www.virustotal.com/gui/file/287bfc917794e1667dc0674b78ccd5d0371d0190c37aa60e9a4d674678b4b821,#apt #unknown #northkoreanthreatgroups #apt_nk_mal_malware_unknown_nov19_1
03/02/2020 12:36,PUA_APT_Chafer_xCmdSvc_Jan19_1,Middle Eastern Threat Groups,Valhalla Rule Feed Only,Detects possibly unwanted application xCmdSvc - a remote command utility also used by Chafer APT group,https://www.fireeye.com/blog/threat-research/2019/01/apt39-iranian-cyber-espionage-group-focused-on-personal-information.html,mai-72,3ff321cd2f3bf0e2dd915df927ad418383b100d4af9c1bd6d40920757835c93c,https://www.virustotal.com/gui/file/3ff321cd2f3bf0e2dd915df927ad418383b100d4af9c1bd6d40920757835c93c,#pua #apt #chafer #xcmdsvc #middleeasternthreatgroups #pua_apt_chafer_xcmdsvc_jan19_1
03/02/2020 12:35,Sig_APT_StringSet_7,APT Malware,Valhalla Rule Feed Only,Detects strings from well-known APT malware,-,49 / 71,6736210ec9d415d204495e14debf5db1e3dcf63de9c5a62040451c6fa3167c5c,https://www.virustotal.com/gui/file/6736210ec9d415d204495e14debf5db1e3dcf63de9c5a62040451c6fa3167c5c,#sig #apt #aptmalware #sig_apt_stringset_7
03/02/2020 12:33,PUA_APT_Chafer_xCmdSvc_Jan19_1,Middle Eastern Threat Groups,Valhalla Rule Feed Only,Detects possibly unwanted application xCmdSvc - a remote command utility also used by Chafer APT group,https://www.fireeye.com/blog/threat-research/2019/01/apt39-iranian-cyber-espionage-group-focused-on-personal-information.html,avr-72,11575a0e8c7ef7eb5a5f8345fbd2de76a16ad9e4fb1301933e996c15f5871dbf,https://www.virustotal.com/gui/file/11575a0e8c7ef7eb5a5f8345fbd2de76a16ad9e4fb1301933e996c15f5871dbf,#pua #apt #chafer #xcmdsvc #middleeasternthreatgroups #pua_apt_chafer_xcmdsvc_jan19_1
03/02/2020 12:32,Sig_APT_RATs_1,APT Malware,Valhalla Rule Feed Only,Detects strings from well-known APT malware,-,67 / 73,1af81e5d0a83695491c2fe1d369e633f13d8cc66220892198f300a0bb2e15daa,https://www.virustotal.com/gui/file/1af81e5d0a83695491c2fe1d369e633f13d8cc66220892198f300a0bb2e15daa,#sig #apt #rats #aptmalware #sig_apt_rats_1
03/02/2020 12:26,APT_CN_APT_C_01_Report_Sep18_5,APT Malware,Valhalla Rule Feed Only,Detects samples mentioned in APT-C-01 report by 360 in September 2018,https://ti.360.net/uploads/2018/09/20/6f8ad451646c9eda1f75c5d31f39f668.pdf,49 / 72,6e27302a696b6c99bf147456c490038d14df339033fe61833f688a81961fc6ab,https://www.virustotal.com/gui/file/6e27302a696b6c99bf147456c490038d14df339033fe61833f688a81961fc6ab,#apt #apt #report #aptmalware #apt_cn_apt_c_01_report_sep18_5
03/02/2020 12:22,Sig_APT_StringSet_7,APT Malware,Valhalla Rule Feed Only,Detects strings from well-known APT malware,-,49 / 71,66ed83d8d432c6972740bf0c668387c0685313bc4fbab3ec8ebffcf67858512a,https://www.virustotal.com/gui/file/66ed83d8d432c6972740bf0c668387c0685313bc4fbab3ec8ebffcf67858512a,#sig #apt #aptmalware #sig_apt_stringset_7
03/02/2020 12:12,Sig_APT_Hacktools_1,APT Malware,Valhalla Rule Feed Only,Detects strings from well-known APT malware,-,29 / 71,cb3913a015ada93d73a30b5cf34a957b8cbc02a6e656855ff78bb5189eab9eac,https://www.virustotal.com/gui/file/cb3913a015ada93d73a30b5cf34a957b8cbc02a6e656855ff78bb5189eab9eac,#sig #apt #hacktools #aptmalware #sig_apt_hacktools_1
