Date,Rule,Collection,Type,Description,Reference,Detection,Hash,Link VT,Hashtag
11/02/2020 22:46,APT_Turla_Implant_Jan19_1,Russian Threat Groups,Valhalla Rule Feed Only,Detects Turla implants,https://twitter.com/DrunkBinary/status/1089919432594472961,37 / 73,a556fddaaeafec8fc1f07d6acd701d94a6560b30dd3d29c18a2e3195639e9e48,https://www.virustotal.com/gui/file/a556fddaaeafec8fc1f07d6acd701d94a6560b30dd3d29c18a2e3195639e9e48,#apt #turla #implant #russianthreatgroups #apt_turla_implant_jan19_1
11/02/2020 22:44,APT_Turla_KopiLuwak_JS_Jul19_1,Russian Threat Groups,Valhalla Rule Feed Only,Detects Turla group KopiLuwak JS,https://securelist.com/turla-renews-its-arsenal-with-topinambour/91687/,55 / 72,525a5b6880146847c8329d9574501f5f55fdaaf0beb72fb0d7007dc321fd9ecb,https://www.virustotal.com/gui/file/525a5b6880146847c8329d9574501f5f55fdaaf0beb72fb0d7007dc321fd9ecb,#apt #turla #kopiluwak #russianthreatgroups #apt_turla_kopiluwak_js_jul19_1
11/02/2020 22:41,APT_NK_BabyShark_PCRat_Apr19_1,APT Malware,Valhalla Rule Feed Only,Detects BabyShark PCRat,https://unit42.paloaltonetworks.com/babyshark-malware-part-two-attacks-continue-using-kimjongrat-and-pcrat/,67 / 72,7279d4db250279df5f85d4dd9ec36a7977b56dee48b6a03299c9ea65cfd9f386,https://www.virustotal.com/gui/file/7279d4db250279df5f85d4dd9ec36a7977b56dee48b6a03299c9ea65cfd9f386,#apt #babyshark #pcrat #aptmalware #apt_nk_babyshark_pcrat_apr19_1
11/02/2020 22:40,APT_MuddyWater_MalDoc_VBScript_Jun19_1,Middle Eastern Threat Groups,Valhalla Rule Feed Only,Detects malicious docs used by MuddyWater,https://twitter.com/Timele9527/status/1141177527051776002,0 / 62,9ed71275fd010e5c4ea3c44505bd1c40175745d5dcce052ee11ff43c60862dce,https://www.virustotal.com/gui/file/9ed71275fd010e5c4ea3c44505bd1c40175745d5dcce052ee11ff43c60862dce,#apt #muddywater #middleeasternthreatgroups #apt_muddywater_maldoc_vbscript_jun19_1
11/02/2020 22:38,Sig_APT_RATs_1,APT Malware,Valhalla Rule Feed Only,Detects strings from well-known APT malware,-,63 / 72,435baa09b730854b85810c2232173038d4900f45018bc0e3c181ee8441c2d420,https://www.virustotal.com/gui/file/435baa09b730854b85810c2232173038d4900f45018bc0e3c181ee8441c2d420,#sig #apt #rats #aptmalware #sig_apt_rats_1
11/02/2020 22:36,APT_Turla_KopiLuwak_JS_Jul19_1,Russian Threat Groups,Valhalla Rule Feed Only,Detects Turla group KopiLuwak JS,https://securelist.com/turla-renews-its-arsenal-with-topinambour/91687/,53 / 72,964ea1f7d86b218acf42d2fd79ac5d987f507ddca16a7d3cc8dae78d50237fe0,https://www.virustotal.com/gui/file/964ea1f7d86b218acf42d2fd79ac5d987f507ddca16a7d3cc8dae78d50237fe0,#apt #turla #kopiluwak #russianthreatgroups #apt_turla_kopiluwak_js_jul19_1
11/02/2020 22:33,APT_NK_MAL_Malware_Unknown_Nov19_1,North Korean Threat Groups,-,-,-,25 / 72,5f59910dac5df83d7e052e96fd7731adc6abce86988e844b27eb045976cb184b,https://www.virustotal.com/gui/file/5f59910dac5df83d7e052e96fd7731adc6abce86988e844b27eb045976cb184b,#apt #unknown #northkoreanthreatgroups #apt_nk_mal_malware_unknown_nov19_1
11/02/2020 22:33,APT_NK_MAL_Malware_Unknown_Nov19_1,North Korean Threat Groups,-,-,-,34 / 73,fad3d684b65949ec25eee2c387645766f3a7c0521a35283057fa1c9cc65c73d4,https://www.virustotal.com/gui/file/fad3d684b65949ec25eee2c387645766f3a7c0521a35283057fa1c9cc65c73d4,#apt #unknown #northkoreanthreatgroups #apt_nk_mal_malware_unknown_nov19_1
11/02/2020 22:31,APT_NK_MAL_Malware_Unknown_Nov19_1,North Korean Threat Groups,-,-,-,26 / 72,757a0f1b12fc57365812aab3e32de739976070ec4fac4f736d116466bebab44a,https://www.virustotal.com/gui/file/757a0f1b12fc57365812aab3e32de739976070ec4fac4f736d116466bebab44a,#apt #unknown #northkoreanthreatgroups #apt_nk_mal_malware_unknown_nov19_1
11/02/2020 22:31,APT_NK_MAL_Malware_Unknown_Nov19_1,North Korean Threat Groups,-,-,-,22 / 72,a98c6b9fefe66eb4d66fce3d7f18c845e2e491921aa3a74a2c178faef4dabdfc,https://www.virustotal.com/gui/file/a98c6b9fefe66eb4d66fce3d7f18c845e2e491921aa3a74a2c178faef4dabdfc,#apt #unknown #northkoreanthreatgroups #apt_nk_mal_malware_unknown_nov19_1
11/02/2020 22:30,APT_NK_MAL_Malware_Unknown_Nov19_1,North Korean Threat Groups,-,-,-,17 / 73,5e19704e486493252c04f43e58314a8595508a9c3a24ac687e7fb67bd01357ad,https://www.virustotal.com/gui/file/5e19704e486493252c04f43e58314a8595508a9c3a24ac687e7fb67bd01357ad,#apt #unknown #northkoreanthreatgroups #apt_nk_mal_malware_unknown_nov19_1
11/02/2020 22:28,Sig_APT_StringSet_7,APT Malware,Valhalla Rule Feed Only,Detects strings from well-known APT malware,-,37 / 72,7d5b91824aae1418670d84a0095b470fc52613126301feb7d2d3bea9d3d6a048,https://www.virustotal.com/gui/file/7d5b91824aae1418670d84a0095b470fc52613126301feb7d2d3bea9d3d6a048,#sig #apt #aptmalware #sig_apt_stringset_7
11/02/2020 22:27,APT_NK_MAL_Malware_Unknown_Nov19_1,North Korean Threat Groups,-,-,-,26 / 72,09451a500ace87f1cfe6730872ce51f9ce12725ec70ae688f969b934eac7703d,https://www.virustotal.com/gui/file/09451a500ace87f1cfe6730872ce51f9ce12725ec70ae688f969b934eac7703d,#apt #unknown #northkoreanthreatgroups #apt_nk_mal_malware_unknown_nov19_1
11/02/2020 22:27,APT_NK_MAL_Malware_Unknown_Nov19_1,North Korean Threat Groups,-,-,-,21 / 72,13b59a29f6e9385b6655e0bc7300a42253b684f125091dc531e667cd030d5fef,https://www.virustotal.com/gui/file/13b59a29f6e9385b6655e0bc7300a42253b684f125091dc531e667cd030d5fef,#apt #unknown #northkoreanthreatgroups #apt_nk_mal_malware_unknown_nov19_1
11/02/2020 22:25,APT_NK_MAL_Malware_Unknown_Nov19_1,North Korean Threat Groups,-,-,-,23 / 72,4915cfbc98440d0842d6534f275ddb1fef97222d12b6bb0bc7c538b63189575d,https://www.virustotal.com/gui/file/4915cfbc98440d0842d6534f275ddb1fef97222d12b6bb0bc7c538b63189575d,#apt #unknown #northkoreanthreatgroups #apt_nk_mal_malware_unknown_nov19_1
11/02/2020 22:24,APT_Turla_DLLInject_Tool,APT Malware,Valhalla Rule Feed Only,Detects a DLL inject tool used by Turla group,https://twitter.com/DrunkBinary/status/1059415250527764480,31 / 72,5c05107f741d66e30c0f178f9f98127a1b8919c9396dfa8c8aa77b4cab9ddffe,https://www.virustotal.com/gui/file/5c05107f741d66e30c0f178f9f98127a1b8919c9396dfa8c8aa77b4cab9ddffe,#apt #turla #tool #aptmalware #apt_turla_dllinject_tool
11/02/2020 22:18,Sig_APT_RATs_1,APT Malware,Valhalla Rule Feed Only,Detects strings from well-known APT malware,-,68 / 73,c44c725458bb6bc626a4eee29e49c5b825dfb7d1cc04c0ccab4a2594dd04e590,https://www.virustotal.com/gui/file/c44c725458bb6bc626a4eee29e49c5b825dfb7d1cc04c0ccab4a2594dd04e590,#sig #apt #rats #aptmalware #sig_apt_rats_1
11/02/2020 22:10,Sig_APT_StringSet_2,APT Malware,Valhalla Rule Feed Only,Detects strings from well-known APT malware,-,69 / 73,0bba8755b45ba57b2f4992e44f90a9a87fa8a85912896a0560555a5e27b4ef9c,https://www.virustotal.com/gui/file/0bba8755b45ba57b2f4992e44f90a9a87fa8a85912896a0560555a5e27b4ef9c,#sig #apt #aptmalware #sig_apt_stringset_2
11/02/2020 22:09,Sig_APT_StringSet_2,APT Malware,Valhalla Rule Feed Only,Detects strings from well-known APT malware,-,68 / 71,2a81e3ea9544981305bfff8db51d57834df340aeb569a1a139774f03345b87b9,https://www.virustotal.com/gui/file/2a81e3ea9544981305bfff8db51d57834df340aeb569a1a139774f03345b87b9,#sig #apt #aptmalware #sig_apt_stringset_2
11/02/2020 22:04,Sig_APT_StringSet_2,APT Malware,Valhalla Rule Feed Only,Detects strings from well-known APT malware,-,70 / 73,60dcba6229e996c70ed4541712678ac7bb6fd0e8b534d56f90b8a1c7041f3403,https://www.virustotal.com/gui/file/60dcba6229e996c70ed4541712678ac7bb6fd0e8b534d56f90b8a1c7041f3403,#sig #apt #aptmalware #sig_apt_stringset_2
11/02/2020 22:01,APT_NK_BabyShark_PCRat_Apr19_1,APT Malware,Valhalla Rule Feed Only,Detects BabyShark PCRat,https://unit42.paloaltonetworks.com/babyshark-malware-part-two-attacks-continue-using-kimjongrat-and-pcrat/,68 / 73,7153beddee6035e130f6ce86073d4395f20ca947e7adc5e9b9dedc596efacbee,https://www.virustotal.com/gui/file/7153beddee6035e130f6ce86073d4395f20ca947e7adc5e9b9dedc596efacbee,#apt #babyshark #pcrat #aptmalware #apt_nk_babyshark_pcrat_apr19_1
11/02/2020 21:58,APT_MAL_DocDropper_Nov19_1,APT Malware,Valhalla Rule Feed Only,Detects Office document with malware dropper characteristics,https://app.any.run/tasks/adad7bd0-12c1-4ed4-ace5-93da0154a284/,0 / 62,3d28d36e84f3b5f83e8aeaa8aaa406fbc8917edd98dfc19b0338ca65ca98c9de,https://www.virustotal.com/gui/file/3d28d36e84f3b5f83e8aeaa8aaa406fbc8917edd98dfc19b0338ca65ca98c9de,#apt #aptmalware #apt_mal_docdropper_nov19_1
11/02/2020 21:57,APT_MAL_DocDropper_Nov19_1,APT Malware,Valhalla Rule Feed Only,Detects Office document with malware dropper characteristics,https://app.any.run/tasks/adad7bd0-12c1-4ed4-ace5-93da0154a284/,f‚vr-61,486254bc0bc92a27766c8251b9c5e5e3816a7ba42fc7de7db237d8c54ff396a1,https://www.virustotal.com/gui/file/486254bc0bc92a27766c8251b9c5e5e3816a7ba42fc7de7db237d8c54ff396a1,#apt #aptmalware #apt_mal_docdropper_nov19_1
11/02/2020 21:56,Sig_APT_RATs_1,APT Malware,Valhalla Rule Feed Only,Detects strings from well-known APT malware,-,58 / 70,c23ba9e8772d2660e5b3ff0847d3614ec52167e77344cafcecf2c3ed2c2671a4,https://www.virustotal.com/gui/file/c23ba9e8772d2660e5b3ff0847d3614ec52167e77344cafcecf2c3ed2c2671a4,#sig #apt #rats #aptmalware #sig_apt_rats_1
11/02/2020 21:56,APT_MAL_DocDropper_Nov19_1,APT Malware,Valhalla Rule Feed Only,Detects Office document with malware dropper characteristics,https://app.any.run/tasks/adad7bd0-12c1-4ed4-ace5-93da0154a284/,f‚vr-62,3e761494b96b89dcb26234fabbf674157810503aad3bd8bc324dcc48abfd2d84,https://www.virustotal.com/gui/file/3e761494b96b89dcb26234fabbf674157810503aad3bd8bc324dcc48abfd2d84,#apt #aptmalware #apt_mal_docdropper_nov19_1
11/02/2020 21:55,APT_MAL_DocDropper_Nov19_1,APT Malware,Valhalla Rule Feed Only,Detects Office document with malware dropper characteristics,https://app.any.run/tasks/adad7bd0-12c1-4ed4-ace5-93da0154a284/,janv-62,4741818ffbb71f7fb3da3d33765e6c1061996df6fab2d756b3acd30847824e34,https://www.virustotal.com/gui/file/4741818ffbb71f7fb3da3d33765e6c1061996df6fab2d756b3acd30847824e34,#apt #aptmalware #apt_mal_docdropper_nov19_1
11/02/2020 21:53,APT_MAL_DocDropper_Nov19_1,APT Malware,Valhalla Rule Feed Only,Detects Office document with malware dropper characteristics,https://app.any.run/tasks/adad7bd0-12c1-4ed4-ace5-93da0154a284/,0 / 62,49649523750fa02fe3c8b1c2bf67323d44c744ec272c9c3c77aa1704cea73082,https://www.virustotal.com/gui/file/49649523750fa02fe3c8b1c2bf67323d44c744ec272c9c3c77aa1704cea73082,#apt #aptmalware #apt_mal_docdropper_nov19_1
11/02/2020 21:52,APT_MAL_DocDropper_Nov19_1,APT Malware,Valhalla Rule Feed Only,Detects Office document with malware dropper characteristics,https://app.any.run/tasks/adad7bd0-12c1-4ed4-ace5-93da0154a284/,f‚vr-62,4249962739e8951d1f2120017412f7814090bbe296935cb208b23aa4f1ad5743,https://www.virustotal.com/gui/file/4249962739e8951d1f2120017412f7814090bbe296935cb208b23aa4f1ad5743,#apt #aptmalware #apt_mal_docdropper_nov19_1
11/02/2020 21:51,Sig_APT_StringSet_4,APT Malware,Valhalla Rule Feed Only,Detects strings from well-known APT malware,-,49 / 71,ec8f9dd968e1c5f58b4556f249675d713148412254d97617d549815a273e2a1b,https://www.virustotal.com/gui/file/ec8f9dd968e1c5f58b4556f249675d713148412254d97617d549815a273e2a1b,#sig #apt #aptmalware #sig_apt_stringset_4
11/02/2020 21:50,Sig_APT_StringSet_4,APT Malware,Valhalla Rule Feed Only,Detects strings from well-known APT malware,-,58 / 73,5cc5f67c9e4aff67cf920d8ef40c0152dd6d95ddef3a3e9e790691d8f94ce45f,https://www.virustotal.com/gui/file/5cc5f67c9e4aff67cf920d8ef40c0152dd6d95ddef3a3e9e790691d8f94ce45f,#sig #apt #aptmalware #sig_apt_stringset_4
11/02/2020 21:50,Sig_APT_StringSet_2,APT Malware,Valhalla Rule Feed Only,Detects strings from well-known APT malware,-,68 / 71,c9234f76f7050f3b7f1b78d87da2ae27f76dbad74c39de68ede476b5e7d4450d,https://www.virustotal.com/gui/file/c9234f76f7050f3b7f1b78d87da2ae27f76dbad74c39de68ede476b5e7d4450d,#sig #apt #aptmalware #sig_apt_stringset_2
11/02/2020 21:50,APT_Sofacy_XAgent_Jan19_1,Russian Threat Groups,Valhalla Rule Feed Only,Detects Sofacy XAgent,-,47 / 73,6bad757719ba6dbf2f5b8f686c60d016841d92509c9fa8536ea8fa889fb17903,https://www.virustotal.com/gui/file/6bad757719ba6dbf2f5b8f686c60d016841d92509c9fa8536ea8fa889fb17903,#apt #sofacy #russianthreatgroups #apt_sofacy_xagent_jan19_1
11/02/2020 21:49,APT_HEXANE_OfficeDropper_Aug19_1,Middle Eastern Threat Groups,Valhalla Rule Feed Only,Detects Office Dropper used by HEXANE group,-,29 / 61,4327311e2659d9a30f99ad591e7a4c8a1e8c0645cb43eb1b760925170e51a2f7,https://www.virustotal.com/gui/file/4327311e2659d9a30f99ad591e7a4c8a1e8c0645cb43eb1b760925170e51a2f7,#apt #officedropper #middleeasternthreatgroups #apt_hexane_officedropper_aug19_1
11/02/2020 21:48,Sig_APT_RATs_1,APT Malware,Valhalla Rule Feed Only,Detects strings from well-known APT malware,-,62 / 70,eb4bafae7e17e2c5148bc3a7daa1074dd835f2dda7386c97c26dc2dc8f4d52e7,https://www.virustotal.com/gui/file/eb4bafae7e17e2c5148bc3a7daa1074dd835f2dda7386c97c26dc2dc8f4d52e7,#sig #apt #rats #aptmalware #sig_apt_rats_1
11/02/2020 21:48,APT_MAL_DocDropper_Nov19_1,APT Malware,Valhalla Rule Feed Only,Detects Office document with malware dropper characteristics,https://app.any.run/tasks/adad7bd0-12c1-4ed4-ace5-93da0154a284/,f‚vr-61,4aac2d1f2d3faf796e8edb0d090ece6e87d4f431ece4848061820ab2799ecb8f,https://www.virustotal.com/gui/file/4aac2d1f2d3faf796e8edb0d090ece6e87d4f431ece4848061820ab2799ecb8f,#apt #aptmalware #apt_mal_docdropper_nov19_1
11/02/2020 21:46,APT_MAL_DocDropper_Nov19_1,APT Malware,Valhalla Rule Feed Only,Detects Office document with malware dropper characteristics,https://app.any.run/tasks/adad7bd0-12c1-4ed4-ace5-93da0154a284/,0 / 62,42a28f7a1a280ce6609e89c285cdb6331ca7e530ce29c6b837e8575b6b7d22ad,https://www.virustotal.com/gui/file/42a28f7a1a280ce6609e89c285cdb6331ca7e530ce29c6b837e8575b6b7d22ad,#apt #aptmalware #apt_mal_docdropper_nov19_1
11/02/2020 21:45,APT_MuddyWater_Dropped_VBS_Sep19_1,Middle Eastern Threat Groups,Valhalla Rule Feed Only,Detects obfuscated VBS dropped by MuddyWater Doc,https://app.any.run/tasks/4670eecc-5c5d-40ca-a707-1e3af2e2358c,0 / 62,4687fcca2e9d813b415ec2d4d63c8b684f721010b54b36dfef3e3fd6458a8307,https://www.virustotal.com/gui/file/4687fcca2e9d813b415ec2d4d63c8b684f721010b54b36dfef3e3fd6458a8307,#apt #muddywater #dropped #vbs #middleeasternthreatgroups #apt_muddywater_dropped_vbs_sep19_1
11/02/2020 21:44,APT_MAL_ME_OfficeDoc_Macro_Jun19_1,Middle Eastern Threat Groups,Valhalla Rule Feed Only,Detects malicious Office document droppers used by Middle Eastern threat groups,-,0 / 60,39fcc4b99ae327e5b552aeebb71268c6037c579cf524af6134e8da50bdb8faa4,https://www.virustotal.com/gui/file/39fcc4b99ae327e5b552aeebb71268c6037c579cf524af6134e8da50bdb8faa4,#apt #macro #middleeasternthreatgroups #apt_mal_me_officedoc_macro_jun19_1
