Date,Type,Indicator,Name
2020-02-21,SHA256,70b6961af57bce72b89103197c8897a4ae3ce5fdb835ccd050f24acbac52900d,Qianhai Cooperation Forum 2018.lnk
2020-02-21,SHA256,92ad7532f7b6cb5b6812da586ae9c2c6ddf65de38aebf4067853968be20e72a2,FLrzH.w	
2020-02-21,SHA256,19e418cc4dffc7bf0716796a91df351dc0dad33d8801d67b6f2c720b76f70171,nv32_update.bat
2020-02-21,Domain C2,admin.selectsouthbay.com,
2020-02-21,IP C2,159.65.74.97,	
2020-02-21,IP C2,159.65.127.93,	
2020-02-21,IP C2,128.199.73.43,	
2020-02-21,SHA256,20ad6fa72982a6ba0f9499361b2aa3a3f5cca73fd397c2969d08a4c5f2866814,Chen Jing s resume works.lnk
2020-02-21,SHA256,f9ee8f1ca51475397e2c190290c0aeb74a9f8a36bc0b6dfb500af7ca47d45daa,lyNMk.v
2020-02-21,SHA256,a723cd629134c6d201f94e0e875672f0c45349790e8d8df07329de3f5b4b5d41,nview32_update.bat
2020-02-21,IP C2,138.197.142.236,
2020-02-21,IP C2,139.59.238.1,	
2020-02-21,SHA256,b0d7118d75c0f2a99fa5b319148b89148800e5db06ee403d6a31c451a8a54f2b,Zhou Wenzhong Thank you letter for Boao Forum for Asia 2018.lnk
2020-02-21,SHA256,b8e53a47659a4a49db71814188bc9ce897d16900924fa0ee785af72cec8199bd,nview32_update.bat
2020-02-21,IP C2,139.59.226.29,	
2020-02-21,IP C2,88.226.144.42,	
2020-02-21,IP C2,162.243.189.2,	
2020-02-21,SHA256,ea6e7c9b9110c7c21062908be51dd3f881490b40b9b77a534fdc7812ab5cd2af,Politics and Law Network Public Opinion Member Application.lnk
2020-02-21,SHA256,b3dee4d1be921a4b15ed01c554b7b31e4f7b147d22027b46b83b49f83cb0ffaa,nview32_update.bat
2020-02-21,IP C2,138.197.142.236,
2020-02-21,IP C2,162.243.189.2,
2020-02-21,IP C2,139.59.238.1,
2020-02-21,SHA256,6ccad83fb9f7a50ac95e3e865a27be0288279e76fcd3b5af495c6fcf6d58fa36,Observer Network Interview Outline and Related News Attachments.lnk
2020-02-21,SHA256,a76cb406145b1e094a8ec46ae0cf959495bfa4aa19ccf6b48353cc459c00005b,SwYLR.T
2020-02-21,SHA256,dff34282032e731312b05501e27f3166d81b349f5b668a907d33ef3525cafb1e,nv32_update.bat
2020-02-21,IP C2,59.73.16.165,	
2020-02-21,IP C2,178.128.110.214,	
2020-02-21,IP C2,198.211.118.118,	
