Date,Rule,Collection,Type,Description,Reference,Detection,Hash,Link VT,Hashtag
2020-03-02 00:01,APT_Turla_KopiLuwak_JS_Jul19_1,Russian Threat Groups,Valhalla Rule Feed Only,Detects Turla group KopiLuwak JS,https://securelist.com/turla-renews-its-arsenal-with-topinambour/91687/,55 / 73,2000f7fc7f239510c681cdcb4115cf15f6fd3902f0eb1fa441325149ebc0a231,https://www.virustotal.com/gui/file/2000f7fc7f239510c681cdcb4115cf15f6fd3902f0eb1fa441325149ebc0a231,#apt #turla #kopiluwak #russianthreatgroups #apt_turla_kopiluwak_js_jul19_1
2020-03-01 20:04,APT_Turla_KopiLuwak_JS_Jul19_1,Russian Threat Groups,Valhalla Rule Feed Only,Detects Turla group KopiLuwak JS,https://securelist.com/turla-renews-its-arsenal-with-topinambour/91687/,53 / 72,becc24274d49f9c7116eb095f81f49f4985d04c262867771d7057f7a97c82b06,https://www.virustotal.com/gui/file/becc24274d49f9c7116eb095f81f49f4985d04c262867771d7057f7a97c82b06,#apt #turla #kopiluwak #russianthreatgroups #apt_turla_kopiluwak_js_jul19_1
2020-03-01 18:07,APT_Turla_KopiLuwak_JS_Jul19_1,Russian Threat Groups,Valhalla Rule Feed Only,Detects Turla group KopiLuwak JS,https://securelist.com/turla-renews-its-arsenal-with-topinambour/91687/,52 / 72,9115dd27fb00bc32f29b27b7329435fecfc274532a4f01de67862e1e87510019,https://www.virustotal.com/gui/file/9115dd27fb00bc32f29b27b7329435fecfc274532a4f01de67862e1e87510019,#apt #turla #kopiluwak #russianthreatgroups #apt_turla_kopiluwak_js_jul19_1
2020-03-01 12:38,APT_Turla_KopiLuwak_JS_Jul19_1,Russian Threat Groups,Valhalla Rule Feed Only,Detects Turla group KopiLuwak JS,https://securelist.com/turla-renews-its-arsenal-with-topinambour/91687/,56 / 73,032f92cda70d6ee27e2d5478fff295e6f04a19ea0d476f04d651e7dc0f6021eb,https://www.virustotal.com/gui/file/032f92cda70d6ee27e2d5478fff295e6f04a19ea0d476f04d651e7dc0f6021eb,#apt #turla #kopiluwak #russianthreatgroups #apt_turla_kopiluwak_js_jul19_1
2020-03-01 08:20,APT_Turla_KopiLuwak_JS_Jul19_1,Russian Threat Groups,Valhalla Rule Feed Only,Detects Turla group KopiLuwak JS,https://securelist.com/turla-renews-its-arsenal-with-topinambour/91687/,53 / 72,ee98576d729cd97397c60d4190852fb77eea35b1588e45a8f539831146c2b76c,https://www.virustotal.com/gui/file/ee98576d729cd97397c60d4190852fb77eea35b1588e45a8f539831146c2b76c,#apt #turla #kopiluwak #russianthreatgroups #apt_turla_kopiluwak_js_jul19_1
2020-03-01 07:46,APT_Turla_KopiLuwak_JS_Jul19_1,Russian Threat Groups,Valhalla Rule Feed Only,Detects Turla group KopiLuwak JS,https://securelist.com/turla-renews-its-arsenal-with-topinambour/91687/,52 / 71,8804070b0bdf14099a8a83985e445cfb15dfffbd55d4508312e3c88c0d793549,https://www.virustotal.com/gui/file/8804070b0bdf14099a8a83985e445cfb15dfffbd55d4508312e3c88c0d793549,#apt #turla #kopiluwak #russianthreatgroups #apt_turla_kopiluwak_js_jul19_1
2020-03-01 07:04,APT_Turla_KopiLuwak_JS_Jul19_1,Russian Threat Groups,Valhalla Rule Feed Only,Detects Turla group KopiLuwak JS,https://securelist.com/turla-renews-its-arsenal-with-topinambour/91687/,53 / 72,9d853ee28421522ac7fa2a6ed368a5744b68a4e6db536f3590d409b3d49aad16,https://www.virustotal.com/gui/file/9d853ee28421522ac7fa2a6ed368a5744b68a4e6db536f3590d409b3d49aad16,#apt #turla #kopiluwak #russianthreatgroups #apt_turla_kopiluwak_js_jul19_1
2020-03-01 06:33,APT_Turla_KopiLuwak_JS_Jul19_1,Russian Threat Groups,Valhalla Rule Feed Only,Detects Turla group KopiLuwak JS,https://securelist.com/turla-renews-its-arsenal-with-topinambour/91687/,53 / 73,0a115f05eff734b629c6dc488c4d40fa8c7908edbee96f088928ba72862e2bcb,https://www.virustotal.com/gui/file/0a115f05eff734b629c6dc488c4d40fa8c7908edbee96f088928ba72862e2bcb,#apt #turla #kopiluwak #russianthreatgroups #apt_turla_kopiluwak_js_jul19_1
2020-03-01 04:05,APT_Turla_KopiLuwak_JS_Jul19_1,Russian Threat Groups,Valhalla Rule Feed Only,Detects Turla group KopiLuwak JS,https://securelist.com/turla-renews-its-arsenal-with-topinambour/91687/,55 / 72,ac16e18f33dc6cd99cfe6131bc2ea1cb321f7654101ac1278a095a2799743308,https://www.virustotal.com/gui/file/ac16e18f33dc6cd99cfe6131bc2ea1cb321f7654101ac1278a095a2799743308,#apt #turla #kopiluwak #russianthreatgroups #apt_turla_kopiluwak_js_jul19_1
2020-03-01 01:54,APT_Turla_KopiLuwak_JS_Jul19_1,Russian Threat Groups,Valhalla Rule Feed Only,Detects Turla group KopiLuwak JS,https://securelist.com/turla-renews-its-arsenal-with-topinambour/91687/,54 / 73,d7cadbb3642f2d68f5ae5e89fdcb34bc35389ae8e6088f118386bf86a79aab83,https://www.virustotal.com/gui/file/d7cadbb3642f2d68f5ae5e89fdcb34bc35389ae8e6088f118386bf86a79aab83,#apt #turla #kopiluwak #russianthreatgroups #apt_turla_kopiluwak_js_jul19_1
