"MD5","SHA-256","Vhash","File type","File size","Filename","Creation Time","First Submission","Last Submission","Last Analysis"
"606b34a2a0001532f24baa8e1478fe82","0b9ae01c87a09f1721e63a7c48cdf4bfdafb977288ce9c5a622cd682c8a70a05","9e1cc1e9349e778117ed0a258bfb4d36","ELF","84.19 KB (86208 bytes)","166","-","2018-09-09 00:25:14","2018-09-09 00:25:14","2020-05-23 22:58:26"
"c9c39045fa14e94618dd631044053824","ab39301d45045172ad41c9a89210fdc6f0d3f9dccb567fd733b0dbffbfcfbcc3","055046655d1560b8z937z27z52z63fz","Win32 EXE","516.75 KB (529149 bytes)","C9C39045FA14E94618DD631044053824.exe","2018-02-01 10:37:09","2018-07-24 14:28:52","2019-11-05 09:41:41","2020-05-23 12:01:14"
"499dc97a109689c129069aa47357588c","91ab4a32abe2c8f30193c4cfe5c369c177c24bf57ba2c3908a83c13191ce7cd1","125046655d156140106001b0098hz72z5bez2","Win32 DLL","235.00 KB (240640 bytes)","RPCIdTm.dll","2021-06-05 08:54:00","2020-05-22 18:01:59","2020-05-22 18:01:59","2020-05-25 14:33:09"
"301bbc862958a5a818926cfa458dba8c","03701463e78f108a3e765f505886bf5f8f7992c8b7ae7c9a4692361d6dd86ed5","085046655d156140106001b0097hz72z5bfz","Win32 EXE","849.60 KB (869989 bytes)","0642dad291fbe26ddff48fb5234c37e9ff41f3f2.exe","2021-06-05 08:54:07","2020-05-22 10:58:48","2020-05-22 10:58:48","2020-05-22 11:17:46"
"e24a62d9826869bc4817366800a8805c","c407c3dde18c9b56ed24492ca257d77a570616074356b8c7854a080823f7ee17","125046655d1560b8z947z27z52z63ez2","Win32 DLL","241.50 KB (247296 bytes)","_data01.bin","2018-02-01 10:37:07","2018-06-15 03:01:38","2019-11-05 09:42:21","2020-05-22 07:33:26"
"617d588eccd942f243ffa8cb13679d9c","0664b09a86ec2df7dfe01a93e184a1fa23df66ea82cab39000944e418ec1f7b2","115056655d15651118z4e?z7","Win32 DLL","150.00 KB (153600 bytes)","617d588eccd942f243ffa8cb13679d9c.virus","2018-09-04 06:33:18","2018-12-12 19:28:47","2019-11-06 13:21:04","2020-05-22 07:32:53"
"aa1cf5791a60d56f7ae6da9bb1e7f01e","d5afa3bfd423ba060207ad025467feaa56ac53d13616ac8782a7f63c9fc0fdb4","115056555d15155az39?z2","Win32 DLL","140.50 KB (143872 bytes)","MPSSVC.dll","2018-06-11 10:20:06","2019-01-17 17:20:14","2019-11-05 08:40:09","2020-05-22 07:32:02"
"49dd7d1ed801f084860583426bf80955","d3b65d1c228c193a41f8fd1db0d31a95c2d4a2d5c5d1d23e02b124b792238742","115056555d151550d8z51hz12z2dez2","Win32 DLL","156.00 KB (159744 bytes)","RasCfgMan.dll","2017-04-28 15:16:45","2019-11-26 13:56:22","2019-11-26 13:56:22","2020-05-22 07:31:27"
"287f495d42065f3596aa8398782ec634","276ee02b86df5d1503b6e61762f8ada4afc801d2dc9409e102b89e1ff7f5a81a","125046655d151078z58z303bza00111ze6z5","Win32 DLL","200.97 KB (205792 bytes)","4545","2018-09-04 06:26:49","2019-11-28 20:48:25","2019-11-28 20:48:25","2020-05-22 07:30:39"
"d4c5c6380d085bae725b7c6f092918cc","41c4e11f12deb0b66cad3aa0dda4ebaf906cff31882dbc3049977f365031da65","115056551d55156az3d06lz8ez2","Win32 DLL","120.00 KB (122880 bytes)","MPSSVC.dll","2016-12-11 09:22:26","2017-09-11 05:35:25","2018-05-08 07:36:01","2020-05-22 07:27:37"
"498d2b6c9642f2ba6b6a270ccdb102df","53cfa1092f2d980c2cb0b8966b6177e232df92ad19b000ecb97ac71b2c76d15d","9e1cc1e9349e778117ed0a258bfb4d36","ELF","84.19 KB (86208 bytes)","233","-","2018-11-06 10:26:52","2018-12-15 21:25:09","2020-05-21 07:37:50"
"36800ed8feec927391e7f10fa799d4bf","b2bcfc1273e060a83b6fd22781beb61fbc46f218fb965a1aab8df87b76b7a59a","115046655d1550a016z6e7z67z22z19ez2","Win32 DLL","150.50 KB (154112 bytes)","perfsvcmgr.dll","2021-02-10 06:06:07","2020-05-17 23:00:05","2020-05-17 23:00:05","2020-05-19 22:51:24"
"01813d7ff7b76d7c2d9c8148628aac0d","72723cb90274852f12c324bcc090fffcca753cdadd8ae2baa96445da3d56a4ad","9e1cc1e9349e778117ed0a258bfb4d36","ELF","150.42 KB (154028 bytes)","00e1b4874f87d124b465b311e13565a813d93bd13d73b05e6ad9b7a08085b683_my_patched_2","-","2020-05-17 09:11:16","2020-05-17 09:11:16","2020-05-17 09:11:16"
"e2c070fdb56cad6cd1708d7a8ae9ef70","d1b8120bd381442c71ba36fc834527084cfb9f278ef244a89b6bd1d55c28d42d","115056555d15155az39?z2","Win32 DLL","135.50 KB (138752 bytes)","McMan.dll","2017-08-17 05:47:52","2017-12-01 19:31:52","2019-12-23 05:48:07","2020-05-25 07:49:12"
"85ce60b365edf4beebbdd85cc971e84d","5dfdee5dd680948d19ab4d16df534cf10aca5fa0b157c59659d6517fe897c62f","015036551d11c032z1f0030115z67z62z2101dz","Win32 EXE","141.03 KB (144415 bytes)","85CE60B365EDF4BEEBBDD85CC971E84D.exe","2017-02-15 15:46:11","2017-09-26 12:24:53","2019-11-05 08:49:46","2020-05-16 16:36:35"
"e3e61f30f8a39cd7aa25149d0f8af5ef","c4dc7519bccc24c53794bf9178e4a4d0823875c34479d01cedbb3e9b10f5c730","115056555d15155az39?z2","Win32 DLL","144.00 KB (147456 bytes)","MPSSVC.dll","2018-08-15 06:09:15","2019-05-31 14:26:53","2019-11-06 13:20:27","2020-05-22 07:30:52"
"4265d08822bd63dfef4b6f3686610f8d","eeb267ccbf0d32afd8e2420475e769b0f050458fb7f729ef75f26e39752c76cb","115056551d551550b1z1001d003c06kz38ez2","Win32 DLL","104.00 KB (106496 bytes)","IPROSetTools.dll","2016-12-11 09:34:18","2017-11-16 11:18:23","2017-11-16 11:18:23","2020-05-15 19:00:30"
"17e05041730dcd0732e5b296db16d757","b6c21c26aef75ad709f6c9cfa84bfa15b7ee709588382ce4bc3544a04bceb661","025056551d15555380901008c00cd6z4d7zd2zec03dz","Win32 EXE","276.51 KB (283151 bytes)","17E05041730DCD0732E5B296DB16D757.exe","2017-04-28 15:24:24","2018-03-04 12:50:03","2019-11-07 08:14:46","2020-05-22 07:33:06"
"0d532484193b8b098d7eb14319cefcd3","f8043d6bfc3e63d8561f7f74e65cb7ff1731577ecf6c7559795d9de21298f0fc","115056555d151550d8z51hz12z2dez2","Win32 DLL","156.00 KB (159744 bytes)","RasCfgMan.dll","2017-04-28 15:16:45","2018-06-15 03:02:11","2019-11-07 09:46:17","2020-05-14 16:59:05"
