"MD5","SHA-256","Vhash","File type","File size","Filename","Creation Time","First Submission","Last Submission","Last Analysis"
"03bd34a9ba4890f37ac8fed78feac199","610f62dd352f88a77a9af56df7105e62e7f712fc315542fcac3678eb9bbcfcc6","025046655d155078z6e1z2dz1041z25z67z","Win32 EXE","292.07 KB (299082 bytes)","bindsvc.exe","2020-03-08 13:34:31","2020-03-09 10:55:55","2020-05-14 20:53:34","2020-05-20 10:42:35"
"07858d5562766d8239a7c961feea087c","dede24bf27fc34403c03661938f21d2a14bc50f11297d415f6e86f297c3c3504","064056651d5e5559z26z3cxz","Win32 EXE","63.75 KB (65280 bytes)","dttcodexgigas.bd8d0143ec75ef4c369f341c2786facbd9f73256","2020-03-08 00:24:51","2020-05-13 20:19:27","2020-05-13 20:19:27","2020-05-20 10:45:39"
"08943bb237926dd1376d799a4afe797d","c4deb67cfa8cc30142fa2d1a1f5854cca685cc5ea5edcdf6c8d06b461639f78e","-","JPEG","1.26 MB (1321015 bytes)","VirusShare_08943bb237926dd1376d799a4afe797d","-","2020-04-29 23:30:40","2020-04-29 23:30:40","2020-04-29 23:30:40"
"0b04998eeb9fb22429a04e3d0e134548","8241aae5894a21bed9770c127289b4940b12f00571734ee13bcd2667164c6dc2","8ea071dcc39f9fae944f06d9121bc0df","Office Open XML Document","98.67 KB (101043 bytes)","afchunk2.docx","2019-09-27 05:17:00","2020-04-10 04:50:15","2020-04-10 04:50:15","2020-04-10 04:50:15"
"186b2e42de0d2e58d070313bd6730243","e60c79a783d44f065df7fd238949c7ee86bdb11c82ed929e72fc470e4c7dae97","016056655d15651038z4dhz2031z1fz","Win32 EXE","1.76 MB (1849905 bytes)","e60c79a783d44f065df7fd238949c7ee86bdb11c82ed929e72fc470e4c7dae97.bin","2020-03-04 08:51:19","2020-03-09 10:53:51","2020-05-15 06:54:07","2020-05-17 04:40:25"
"1f3606dda801a6b7e6bd7cc0e8994241","cba7e963e00929be1600a70e6632a1e93b91cb8d860bb13158a88cef7dab976a","8ea071dcc39f9fae944f06d9121bc0df","Office Open XML Document","506.06 KB (518208 bytes)","afchunk2.docx","2019-09-27 05:17:00","2020-04-09 03:32:12","2020-04-09 03:32:12","2020-04-09 03:32:12"
"25877aa787b213c67854a08452cdfc5b","cd77d49b40e4938fe3f8d85780ad869d80d6c7318d6ef2963a972e47f6bf9b17","164046655d155183z12z4fhz10401011z9az2","Win32 DLL","67.00 KB (68608 bytes)","98a4d7616ef386a106fe2251eda661c538336a3c7ca2a30a17839fafd8c481e9~","2018-10-02 01:09:45","2020-04-23 03:50:17","2020-04-23 03:50:17","2020-04-23 03:50:17"
"3439318cedcf37c1bf5fe6d49ddbb2cb","-","-","-","-","-","-","-","-","-"
"359d2d301455a95f8a2655965b386278","82308368d8655ba2098ef52ef76cd18c3249531c742157198849d2f697639202","9426b23c40c236625a6568dcca013ab5","RAR","126.87 KB (129915 bytes)","技術協議.rar","-","2020-03-12 01:32:34","2020-03-12 01:32:34","2020-03-12 01:32:34"
"3654c3fa86f19d253e4c70bdf5f3d158","10278770a9c331d0903dde91e714d395a1242101f40ae6030436ce07ff5fcaf6","095056655d651550d5z800927z504023z20c1zcfz","Win32 EXE","967.00 KB (990208 bytes)","netwiz.exe","2019-09-24 07:00:19","2020-04-01 16:37:32","2020-05-14 20:53:16","2020-05-19 18:29:34"
"3e805824f80bba35ac06eafc80c6b6ad","9fc0eab9d63cfccb2de2dde6b67e4e54e85104549df3a3351f85a27c0fffcec8","045086655d15535565551173z12z61jz301021z1aze","Win32 EXE","478.50 KB (489984 bytes)","lame_enc.dll","2019-06-02 07:39:59","2020-04-07 17:37:30","2020-04-07 17:37:30","2020-05-15 16:26:30"
"4a52db18e3618f79983f0cb1dd83f34a","6bf2bb3cc8b6151c4e4ccf63bb8c09ae882e229e3c75cc4acc0ae3d1b9306842","-","HTML","2.80 KB (2866 bytes)","googleofficechk.sct","-","2020-03-16 13:14:58","2020-03-16 13:14:58","2020-03-16 13:14:58"
"4fa4c81a7d1b945b36403dc95943f01e","e4cef10db3862ba297eb22c4efaa5595c21f006e50f701fbf343e1bac69b2443","872bf32e58f272face45eb9510c2aa332","Rich Text Format","52.49 KB (53754 bytes)","afchunk.rtf","2018-08-03 09:48:00","2020-04-09 03:59:11","2020-04-09 03:59:11","2020-04-27 14:17:57"
