"MD5","SHA-256","Vhash","File type","File size","Filename","Creation Time","First Submission","Last Submission","Last Analysis"
"808502752ca0492aca995e9b620d507b","0f56c703e9b7ddeb90646927bac05a5c6d95308c8e13b88e5d4f4b572423e036","035076655d1555155550a8z6c7z65z3cz117z","Win32 EXE","339.50 KB (347648 bytes)","output.165739874.txt","2018-08-10 09:52:35","2018-08-15 09:33:26","2020-06-10 18:16:02","2020-06-19 12:38:16"
"67d735924a1c717ca8fc5e0b8f2973b0","e84badc0eeacf3bf3a9e562662f05ebf05ab19196b740566a4e72a469460a55d","115066651d1515555az44?z3","Win32 DLL","105.00 KB (107520 bytes)","TmDbgLog.dll","2018-09-06 05:59:46","2020-06-19 05:48:16","2020-06-19 05:48:16","2020-06-19 13:34:00"
"aa5681d62bec91da9f1f41bc5a7a63bc","b094a8616804fbd5ff21b9c8153622eca7909b9f35251579ba383e16de11c0ed","384036651511008242fc33ba","Win32 DLL","79.50 KB (81408 bytes)","Potato.dll","2105-01-11 21:28:35","2020-04-14 07:19:02","2020-04-14 07:19:02","2020-06-19 11:53:16"
"5986e7094706504d190e23337e1fc4c7","4fc27fc85d2a37eaefb61e2350907aafc27a11084c8f19d66ee9b044cd29e006","364036651511008316f0020","Win32 DLL","59.00 KB (60416 bytes)","HttpCore.dll","2051-07-06 21:44:43","2020-06-19 05:46:33","2020-06-19 05:46:33","2020-06-19 13:46:13"
"5d92c39f39d12ab69fcfb9b96400f39a","a1900f7a85f39a3ab9a9079115d55d2d14b55f6cc774346d6375f10589cea770","3630365515151z71z20","Win32 DLL","6.00 KB (6144 bytes)","Exchange_js_eval_base64","2020-05-18 09:25:37","2020-06-19 05:48:30","2020-06-19 05:48:30","2020-06-19 14:21:45"
"9cc60c92bf512bf34a5d34412ea80525","183328d94bbb13a6fd13d0b9f4401157ff666956a3accabce8c72822ef9e2a24","37303655151d081730020","Win32 DLL","7.00 KB (7168 bytes)","Library.dll","2020-04-27 10:22:35","2020-06-19 05:47:19","2020-06-19 05:47:19","2020-06-19 12:53:00"
"b0671a8d75cd548be50b7d71027b1f64","2b71dd245520d9eb5f1e4c633fee61c7d83687591d9f64f9390c26dc95057c3c","-","HTML","1.24 KB (1273 bytes)","webshell.aspx","-","2009-07-29 02:52:25","2018-03-19 10:23:18","2020-06-19 11:46:59"
"a049833256e22cd07cb480803a339545","a5c8934836f5b36bba3a722eab691a9f1f926c138fefe5bae07e9074e7c49ae3","-","Text","472.00 B (472 bytes)","behinder_webshell.aspx","-","2020-06-19 05:43:15","2020-06-19 05:43:15","2020-06-19 14:23:54"
"b6cb873067f3f1a457b3ced951213c72","eb2c2516a518381d5c5727d6d7c6de5ea6acd614e437099a0ded24dc851afc55","-","Text","1.75 KB (1789 bytes)","csharp_assembler_webshell.aspx","-","2020-06-19 05:44:39","2020-06-19 05:44:39","2020-06-19 12:45:46"
"7400d58f5dbc4a9b80db4da9d4944d86","b0d2980b40bb0e59fa8b1982f5cf7768bb4bd6e8c5e20addf4333de59bc372d4","-","Text","4.46 KB (4562 bytes)","embedded_jscript_evaluator_webshell.aspx","-","2020-06-19 05:45:06","2020-06-19 05:45:06","2020-06-19 12:06:15"
"46a473898e2618dece83bc18d7792acb","10162feb5f063ea09c6a3d275f31abf0fe8a9e4e36fded0053b1f8e054da8161","-","HTML","29.92 KB (30635 bytes)","highshell_twoface_webshell.aspx","-","2020-06-19 05:46:15","2020-06-19 05:46:15","2020-06-19 12:44:30"
"e817a1384d3496d9835c855fb61527c5","f2e94285fd5ecd1952b2a2b3031f5bc188a6f25867ca8cdda14ae95902e6a7cc","-","Text","634.00 B (634 bytes)","httpcore_controller_webshell.aspx","-","2020-06-19 05:46:46","2020-06-19 05:46:46","2020-06-19 12:53:47"
"998355e6c1d266272352df64ea1af615","95395b254bf02f157a60fa604679efc1f8c5912cf633ff33216ce43df47fca15","ded54208d4d871c2cbb95ab5df8edf86","MS PowerPoint Presentation","351.50 KB (359936 bytes)","malicious_powerpoint.ppt","2020-04-17 21:47:32","2020-06-19 05:47:34","2020-06-19 05:47:34","2020-06-19 14:22:22"
"45f330f1210baf9cb292d9e365d9cc9b","3e2605056cf3f55e47679ea414d14d455dbff58fdfe5de9bc837479c8fa3b1de","2fc89c87dcb198b065b7af1bd3f32965","Office Open XML Document","35.14 KB (35987 bytes)","template.dotm","2020-04-27 10:36:00","2020-06-19 05:47:58","2020-06-19 05:47:58","2020-06-19 13:02:23"
