Date,Type,Indicator,Description
2020-07-29,SHA256,5843fa26b79935766206dbd7a7a425b4e69cb88a7b97eb16a523ff2d7a1cd6d5,5843fa26b79935766206dbd7a7a425b4e69cb88a7b97eb16a523ff2d7a1cd6d5.xlsx
2020-07-29,URL,http://47.106.112.106:8032/html/logo2.gif,URL delivery
2020-07-29,IP,47.106.112.106,IP delivery
2020-07-29,SHA256,64882106efa5e4e6e169f60b962f6240c4f61e4361d4588d3119c37316d1b651,logo2.gif
2020-07-29,SHA256,892ae8d1a9cae5ae80d7f2021f21420f265f92638161919a1e399528a0e2786a,unpacked_DDL_Layer1.dll
2020-07-29,SHA256,9cb8fd3ed2d59f1ec5526ae57a0479f346226a5a62afca67da2c77058dc372fb,iscsiexe.dll
2020-07-29,SHA256,5faa1516327fc1f5694da81fd20b6fd370575f95c0b5e570b3df53948cd076e9,iscsicpl.exe
2020-07-29,SHA256,3ad7fb509b118834e68401124fb995b3be6b573b7efaaa8e58796fb0fd2abd7a,unpacked_DDL_Layer2.dll
2020-07-29,Domain,"support.office365excel.org",Domain C2
2020-07-29,IP,"35.187.194.33",IP C2
