"MD5","SHA256","Malware","Size","ref_Kaspersky","VT"
"d330f1945a39ceb78b716c21b6be5d82","5039e8f97dc499fef344b56270ae534a0cea1c93ddacf17ae46c7f922f6139d8","Malicious LNK","1.52 MB","Trojan-Dropper.WinLNK.Agent.i","https://www.virustotal.com/gui/file/5039e8f97dc499fef344b56270ae534a0cea1c93ddacf17ae46c7f922f6139d8/detection"
"d83f933b2a6c307e17438749eda29f02","880607cc2da4c3213ea687dabd7707736a879cc5f2f1d4accf79821e4d24d870","Malicious LNK","1.39 MB","Trojan-Dropper.WinLNK.Agent.p","https://www.virustotal.com/gui/file/880607cc2da4c3213ea687dabd7707736a879cc5f2f1d4accf79821e4d24d870/detection"
"540bc05130424301a8f0543e0240df1d","0c7e8427ee61672568983e51bf03e0bcf6f2e9c01d2524d82677b20264b23a3f","Malicious LNK","2.19 MB","HEUR:Trojan.WinLNK.Agent.gen","https://www.virustotal.com/gui/file/0c7e8427ee61672568983e51bf03e0bcf6f2e9c01d2524d82677b20264b23a3f/detection"
"3b359a0e279c4e8c5b781e0518320b46","22ede766fba7551ad0b71ef568d0e5022378eadbdff55c4a02b42e63fcb3b17c","Malicious LNK","4.78 KB","Trojan-Dropper.WinLNK.Agent.m","https://www.virustotal.com/gui/file/22ede766fba7551ad0b71ef568d0e5022378eadbdff55c4a02b42e63fcb3b17c/detection"
"6f965640bc609f9c5b7fea181a2a83ca","f4610b65eba977b3d13eba5da0e38788a9e796a3e9775dd2b8e37b3085c2e1af","Malicious LNK","1.39 MB","Trojan-Dropper.WinLNK.Agent.o","https://www.virustotal.com/gui/file/f4610b65eba977b3d13eba5da0e38788a9e796a3e9775dd2b8e37b3085c2e1af/detection"
"e1718289718792651fa401c945c17079","4920e6506ca557d486e6785cb5f7e4b0f4505709ffe8c30070909b040d3c3840","Malicious LNK","1.16 MB","Trojan-Dropper.WinLNK.Agent.m","https://www.virustotal.com/gui/file/4920e6506ca557d486e6785cb5f7e4b0f4505709ffe8c30070909b040d3c3840/detection"
"f558e216cd3fb6c23696240a8c6306ac","d75b5acf5efa94a7823bfa72410b916e27da9d61e1ccb46ae72cec45d3a1351e","Malicious LNK","1.1 MB","HEUR:Trojan.WinLNK.Agent.gen","-"
"b38d1c18cbccdddbf56fdd28e5e6ecbb","b1dc335443a1e1581dcb4993816b519be0f8d9fc25847ee29a4d2dd7dabf0756","Loader Script","4.78 KB","-","-"
"e132c596857892ac41249b90ea6934c1","-","PowerSing Stage 1","-","-","-"
"9a0f56cdacce40d7039923551eab241b","bc6baa74edb4cf60ade80ddefde580e3d2da6b056cfeedd9dfbd50a1f23f52ba","PowerSing Stage 1","	189.13 KB","Trojan-Downloader.PowerShell.Agent.lt","-"
"0cebeb05362c0a5665e7320431cd115a","6b6631d51f8727ef6d1f52982749a43a2099e3927449290504aabb8ce75410bd","PowerSing Stage 1","344.8 KB","Backdoor.PowerShell.Agent.cb","-"
"c5416d454c4a2926ca6128e895224981","3a6a06388fbff77e891b31114eed81e761c0b2f62c402805d394a73e475ef1b1","PowerSing Stage 1","343.09 KB","Backdoor.PowerShell.Agent.bz","-"
"dbd966532772dc518d818a3ab6830da9","8d370d5632633b79a737cb2df427b06c99d28ae52344aa144bcae9716ccd4797","PowerSing Stage 1","344.37 KB","Backdoor.PowerShell.Agent.by","-"
"b7bba5e70dc7362aa00910443fb6cd58","3a034172a2bfaba08dc836ebd7e96b3c20b50a9e382cb5f7ce3609c328981bb2","PowerSing Stage 1","343.63 KB","Backdoor.PowerShell.Agent.bx","-"
"2be3e8024d5dd4eb9f7ed45e4393992d","fd5750a863e9c701b29d3f3bf9e042c6e1553ed23c0596f8ed73011277f6e72d","PowerSing Stage 1","344.29 KB","HEUR:Trojan.PowerShell.Generic","-"
"83d5a68be66a66a5ab27e309d6d6ecd1","283f1c7ba1ced14fdddb752754261a58abf3afaf9029690e15f16c1fbf3406b1","PowerSing Stage 1","189.12 KB","Trojan-Downloader.PowerShell.Agent.ls","-"
"50d763efc1be165b7db3ab5d00ffacd8","cc31a4c6d27067ab865deecedda15a1ced732e616beaa8763346ccbf11fc1e00","PowerSing Stage 1","1 MB","Backdoor.PowerShell.Agent.bw","-"
