"MD5","SHA-256","Vhash","File type","File size","Filename","Creation Time","First Submission","Last Submission","Last Analysis"
"b82f27d31ee844867c6fcccad19a8e44","c50a67746b3b10a5961f1dfbd1acccd52f0a9ff049fb47edf6e973c8f90bc185","125056651d15555143z32z717z1dz31z900157z","Win32 DLL","196.00 KB (200704 bytes)",".qdjr","2020-08-01 03:10:57","2020-09-25 15:37:54","2020-09-25 15:37:54","2020-10-04 07:46:45"
"6951703d2f00afdcfa2faf6d29859acc","681412c7ead2a551a6ff11f0a25288629322a32d73009e07efd6a81972465260","125056651d15555143z42z78z1dz31z900156z1","Win32 DLL","197.00 KB (201728 bytes)",".oukz","2020-06-27 02:27:29","2020-09-30 06:03:03","2020-09-30 06:03:03","2020-09-30 06:03:03"
"422a6cb2f733ff09e3689117260395d5","c9e649f7ca9790834148caef3718b55ddd964ed9ea6c3b90e0fa5f34cfba37da","125056651d15555143z42z78z1dz31z900156z1","Win32 DLL","197.00 KB (201728 bytes)",".qhzm","2020-06-27 02:27:29","2020-09-22 21:47:10","2020-09-22 21:47:10","2020-09-22 21:47:10"
"b054376d9df590904782b0f180e3e90c","222a38b7a34bf52dea4bcd6b39d30a25b8b2485a684c42f702d237f2e09bfb29","125056651d15555143z42z78z1dz31z900156z1","Win32 DLL","196.57 KB (201283 bytes)","test1.raw","2020-06-27 02:27:29","2020-09-22 19:40:00","2020-09-22 19:40:00","2020-09-22 19:40:00"
"0c625e5c1aaf1dab99f1d00653126b6d","aae6502e18ec751262b79beadb77eb5d40ce6928484425bb5ef6c417189deecf","125056651d15555143z42z78z1dz31z900156z1","Win32 DLL","197.00 KB (201728 bytes)",".fski","2020-06-27 02:27:29","2020-09-17 07:17:23","2020-09-17 07:17:23","2020-09-17 07:17:23"
"80a251015f4622da4623ca845daad022","f9cebbde1d4c61fdce981c73d24274dbe3f2707f6f42f76fcabe689ebcb1965d","125056651d15555143z42z78z1dz31z900156z1","Win32 DLL","197.00 KB (201728 bytes)",".oztx","2020-06-27 02:27:29","2020-09-17 01:08:49","2020-09-17 01:08:49","2020-09-17 01:08:49"
"ed8536c1206d52db5a1c1830a1d9c8ef","3d842f42a7caa4e088a4c7a28ef866a9ac1e0f75be929beed99cc73838ad8507","125056651d15555143z42z78z1dz31z900156z1","Win32 DLL","197.00 KB (201728 bytes)",".xxyr","2020-06-27 02:27:29","2020-09-15 19:22:59","2020-09-15 19:22:59","2020-09-15 19:22:59"
"536a53aaad5cf57aa1bbee30286ae99b","e00f032ddecf958b9ed4fbdd9ca52f44ed7b25a260ab08e842f8d4f174f8c344","125056651d15555143z42z78z1dz31z900156z1","Win32 DLL","197.00 KB (201728 bytes)",".hymo","2020-06-27 02:27:29","2020-09-15 00:00:48","2020-09-15 00:00:48","2020-09-15 00:00:48"
"77db760d817513a67b701c5a5a81622c","b2ebbcd9700e0ac2e0b54e3599f95f389a6c206c2c1236287de48757c89b8f80","125056651d15555143z42z78z1dz31z900156z1","Win32 DLL","197.00 KB (201728 bytes)",".ivem","2020-06-27 02:27:29","2020-09-13 08:11:39","2020-09-13 08:11:39","2020-09-19 12:07:49"
"e459f4cab51846f65b7baf51523bf019","10b5ede60b9c5d7857a4462c4c3fd531b1793a37bd366f9cb6cb675289858aab","125056651d15555143z42z78z1dz31z900156z1","Win32 DLL","197.00 KB (201728 bytes)",".tmot","2020-06-27 02:27:29","2020-09-13 06:47:15","2020-09-13 06:47:15","2020-09-19 11:40:47"
"fdb4a363fcf0ff0f3372dd08b9dd65c9","76e6b9102e44d048fcdcb4e567cdd50754fd3e952f76a5c1b4cfcec8ccbe129b","125056651d15555143z42z78z1dz31z900156z1","Win32 DLL","195.50 KB (200192 bytes)","76e6b9102e44d048fcdcb4e567cdd50754fd3e952f76a5c1b4cfcec8ccbe129b.sample","2020-06-27 02:27:29","2020-09-13 03:07:33","2020-09-13 03:07:33","2020-09-19 12:33:49"
"b9183344dd764fa1bb4879c110297550","e8b94f00131ffad10638c7f3e323ae501e2164b101f9544eb91678ffcf8eb6b9","125056651d15555143z42z78z1dz31z900156z1","Win32 DLL","197.00 KB (201728 bytes)",".dtno","2020-06-27 02:27:29","2020-09-12 09:08:20","2020-09-12 09:08:20","2020-09-12 09:08:20"
"047da5b91f1f625c8ff0b4e725f37108","f2de9a3fc0c1fc82ce1aa5c22bac552302da903840124b899131842a98f01bd6","125056651d15555143z42z78z1dz31z900156z1","Win32 DLL","198.00 KB (202752 bytes)",".uffn","2020-06-27 02:27:29","2020-09-06 12:27:31","2020-09-06 12:27:31","2020-09-06 12:27:31"
"4d6fa8668ed08b29cfa6dfc37855375f","879ec7c5e7340c99c6a1380342cdc4d8440e94ea00ec5ba314fbf31bcad25003","125056651d15555143z42z78z1dz31z900156z1","Win32 DLL","197.00 KB (201728 bytes)",".wvrm","2020-06-27 02:27:29","2020-09-03 22:58:04","2020-09-03 22:58:04","2020-09-18 05:38:37"
"6079e51b2a3f31ca51e7f9c4d26a405c","f78d609f632431eeadfe724a9c2b050fc6cc17a1a7fd5363bf35b4391e0df5bc","125056651d15555143z42z78z1dz31z900156z1","Win32 DLL","197.00 KB (201728 bytes)",".hiwi","2020-06-27 02:27:29","2020-09-03 08:36:03","2020-09-03 08:36:03","2020-09-03 08:36:03"
"b0550d02e23f326b0b5e4d0edc033843","339bd08af13367befff6cde3a8b32d863735710cac210758cb9d276ee43991e8","125056651d15555143z42z78z1dz31z900156z1","Win32 DLL","196.57 KB (201283 bytes)","msfbackdoor3.exe","2020-06-27 02:27:29","2020-08-30 21:28:22","2020-08-30 21:28:22","2020-08-30 21:28:22"
