"MD5","SHA-256","Vhash","File type","File size","Filename","Creation Time","First Submission","Last Submission","Last Analysis"
"eec3730b2b99f6fb23134d79681f5122","e4287e9708a73ce6a9b7a3e7c72462b01f7cc3c595d972cf2984185ac1a3a4a8","055076655d551d15556068z5dhz13z2fz","Win32 EXE","500.00 KB (512000 bytes)","svchost.exe","2020-09-30 20:11:58","2020-10-17 12:05:44","2020-10-17 12:05:44","2020-10-28 02:39:01"
"429126aa566b3fd191227b4f2d1890fc","327934c4c11ba37f42a91e1b7b956d5a4511f918e63047a8c4aa081fd39de6d9","055076655d551d15556068z5dhz13z2fz","Win32 EXE","500.00 KB (512000 bytes)","Compiler","2020-09-16 09:35:12","2020-09-22 13:57:29","2020-09-22 13:57:29","2020-10-28 16:50:37"
"dc82cd73d0738cfe2e49c499c2fa631e","8b4b233e87c61c8698e086b376da640c9ab2ecd71c58b1f6a2eceb60b7e1a691","055076655d551d15556068z5dhz13z2fz","Win32 EXE","500.00 KB (512000 bytes)","svchost.exe","2020-09-09 23:27:44","2020-10-03 14:06:50","2020-10-03 14:06:50","2020-11-25 10:17:19"
"b6dd099b4c51edae5ea0c867ff2f12a7","f0939ebfda6b30a330a00c57497038a54da359e316e0d6e6e71871fd50fec16a","055076655d551d15556068z5dhz13z2fz","Win32 EXE","499.50 KB (511488 bytes)","b6dd099b4c51edae5ea0c867ff2f12a7.virus","2020-08-29 21:53:38","2020-09-16 01:58:23","2020-09-16 01:58:23","2020-09-16 01:58:23"
"367734ce59f38110fb0333a4d28a89dd","1e2009549452ed6b524b94ed683079ee60c2b9542b1bfd5b9ee42e9161d5e7c8","055076655d551d15556068z5dhz13z2fz","Win32 EXE","499.50 KB (511488 bytes)","svchost.exe","2020-08-22 00:06:50","2020-10-30 12:27:28","2020-10-30 12:27:28","2020-10-30 12:27:28"
"4ff21b1cec174bbb5bf0b22e42a56af0","48355bd2a57d92e017bdada911a4b31aa7225c0b12231c9cbda6717616abaea3","055076655d551d15556068z5dhz13z2fz","Win32 EXE","499.50 KB (511488 bytes)","4ff21b1cec174bbb5bf0b22e42a56af0.virobj","2020-08-05 08:07:30","2020-08-14 00:22:06","2020-09-02 11:00:31","2020-09-02 11:00:31"
"339165f63aec8d7fd7798129d0fc68ad","0f0014669bc10a7d87472cafc05301c66516857607b920ddeb3039f4cb8f0a50","055076655d551d15556068z5dhz13z2fz","Win32 EXE","499.50 KB (511488 bytes)","339165f63aec8d7fd7798129d0fc68ad.virus","2020-04-07 22:31:58","2020-07-29 18:12:05","2020-07-29 18:12:05","2020-08-01 13:33:14"
"e9454a2ff16897e177d8a11083850ec7","e9662b468135f758a9487a1be50159ef57f3050b753de2915763b4ed78839ead","055076655d551d15556068z5dhz13z2fz","Win32 EXE","504.50 KB (516608 bytes)","1.exe","2020-01-18 23:58:47","2020-01-22 21:03:43","2020-09-23 22:31:03","2020-10-03 00:26:14"
"d7b3ed13ed2c94f090df4d138358cb50","61bb42fe06b3511d512af33ef59baa295b29bd62eb4d0bf28639c7910a65e4ae","055076655d551d15556068z5ahz13z2fz","Win32 EXE","504.50 KB (516608 bytes)","1.exe","2020-01-05 08:41:15","2020-01-10 07:35:24","2020-01-10 07:35:24","2020-01-28 20:36:04"
"4252a2aba65926b3c5888549cebae854","425945a93beb160f101d51de36363d1e7ebc45279987c3eaf5e7f183ed0a3776","055076655d551d15556068z5ahz13z2fz","Win32 EXE","504.50 KB (516608 bytes)","1.exevir","2019-12-17 21:37:10","2019-12-30 14:50:28","2019-12-30 14:50:28","2020-01-28 20:36:09"
"9ff0f8785b73ce6e86b0a269e44c6d1b","a18c85399cd1ec3f1ec85cd66ff2e97a0dcf7ccb17ecf697a5376da8eda4d327","055076655d551d15556068z5ahz13z2fz","Win32 EXE","504.50 KB (516608 bytes)","1.exe","2019-12-09 09:38:58","2019-12-14 11:57:18","2019-12-14 11:57:18","2020-10-06 09:59:04"
"0b356149cdff77826f11cbcaac9aa98d","5510ae74b7e2a10fdafa577dc278612f7796b0252b7d1438615e26c49e1fc560","055076655d551d15556038z59hz13z1fz","Win32 EXE","520.00 KB (532480 bytes)","51.exe","2019-11-09 17:16:40","2019-11-11 12:48:37","2019-11-11 12:48:37","2020-06-05 11:26:03"
"d3ba2b1e2449ad6525eedbbed7a9e2ce","1a0ff707938a1399e23af000567806a87fff9b8789ae43badb4d28d4bef1fb81","065086655d15551d15555038z5chz13z1fz","Win32 EXE","622.00 KB (636928 bytes)","31.exe","2019-10-29 21:13:06","2019-11-19 19:31:32","2019-11-19 19:31:32","2019-11-29 08:06:55"
"50988e480f4106b5705f7559df6a7f79","b1381635c936e8de92cfa26938c80a359904c1d709ef11ee286ba875cfb7b330","065086655d15551d15555038z5chz13z1fz","Win32 EXE","621.50 KB (636416 bytes)","17.exe","2019-10-24 22:46:36","2019-10-25 13:05:49","2019-10-25 13:05:49","2020-04-08 08:19:03"
