Date,Type,Value,malware,Available
2020-10-03,Host,hanproud.com,,
2020-12-08,File,c4ff632696ec6e406388e1d42421b3cd3b5f79dcb2df67e2022d961d5f5a9e78,CobaltStrike,ok
2021-01-28,Host,cdnappservice.firebaseio.com,,
2021-01-28,Host,cdnappservice.web.app,,
2021-01-28,Host,logicworkservice.web.app,,
2021-02-05,Host,tacomanewspaper.com,,
2021-02-05,Address,195.206.181.169,,
2021-02-11,Address,139.99.167.177,,
2021-02-20,Host,dailydews.com,,
2021-02-21,Host,aimsecurity.net,,
2021-02-21,Host,newstepsco.com,,
2021-02-22,host,humanitarian-forum-default-rtdb.firebaseio.com,,
2021-02-22,host,humanitarian-forum.web.app,,
2021-02-22,URL,https://humanitarian-forum-default-rtdb.firebaseio.com/root.json,,
2021-02-22,File,ca83d7456a49dc5b8fe71007e5ac590842b146dd5c45c9a65fe57e428a8bd7c6,EnvyScout,ok
2021-02-24,File,6e2069758228e8d69f8c0a82a88ca7433a0a71076c9b1cb0d4646ba8236edf23,ISO,ok
2021-02-24,File,24caf54e7c3fe308444093f7ac64d6d520c8f44ea4251e09e24931bdb72f5548,lnk,ok
2021-02-24,File,6866041f93141697ec166fe64e35b00c5fcd5d009500ecf58dd0b7e28764b167,lnk,ok
2021-02-24,File,a4f1f09a2b9bc87de90891da6c0fca28e2f88fd67034648060cef9862af9a3bf,CobaltStrike,ok
2021-02-24,Host,security-updater-default-rtdb.firebaseio.com,,
2021-02-25,Address,185.158.250.239,,
2021-02-26,File,5f7d08eb2039a9d2e99ebf3d0ef2796b93d0a01e9b8ec403fec8fcdf46448693,ISO,
2021-02-26,File,292e5b0a12fea4ff3fc02e1f98b7a370f88152ce71fe62670dd2f5edfaab2ff8,CobaltStrike,ok
2021-03-01,Host,enpport.com,,
2021-03-01,Address,37.120.247.135,,
2021-03-01,Host,giftbox4u.com,,
2021-03-01,URL,http://enpport.com/img_tst.jpg,,
2021-03-01,host,74d6b7b2.app.giftbox4u.com,,
2021-03-01,Address,37.120.247.135,,
2021-03-02,File,065e9471fb4425ec0b3a2fd15e1546d66002caca844866b0764cbf837c21a72a,EnvyScout,
2021-03-02,File,112f92cfecdc4e177458bc1caebcc4420b5879840f137f249fac360ddac64ddd,ISO,
2021-03-02,File,a45a77ad5c138a149aa71fb323a1e2513e7ac416be263d1783a7db380d06d2fc,ISO,
2021-03-02,File,88c95954800827cb68e1efdacd99093f7f9646d82613039472b5c90e5978444d,CobaltStrike,
2021-03-03,Host,pcmsar.net,,
2021-03-14,Host,smtp2.theyardservice.com,,
2021-03-17,File,f5bc4a9ffc2d33d4f915e41090af71544d84b651fb2444ac91f6e56c1f2c70d5,EnvyScout,
2021-03-17,File,873717ea2ea01ae6cd2c2dca9d6f832a316a6e0370071bb4ee6ecff3163f8d18,ISO,
