Total,Positives,Hash,Timestamp,Available,YR1,YR2,YR3
67,14,69bc3930f6116cb200f0d2382713a49c18170fdf829b307e70a82de193577b80,27/11/2021 20:05,y,,2,
66,27,2c3f91fcb22930f3c489bf231d93843180d7292740b5fae48f105843ad4fdd71,27/11/2021 14:09,y,1,,
68,25,670b7ecddd5e5d8b6840464d644a7354da74beb150206c7128e826469484ebd2,27/11/2021 01:22,y,1,,
68,20,c5fd9773a122f58c5019b0fb4c058d555c254547f1998673c984cb32a14329c1,26/11/2021 23:41,y,1,,
68,19,ec650d8953e5fb5f482777eb8c6c332765ef82d6b2ed8039d0ccb58a34633912,26/11/2021 23:23,y,1,,
68,20,02669e743b7649335ca5ad7966f9cc3ac00383fd99e65c521418070a2ec1a09b,26/11/2021 22:57,y,1,,
67,21,4b70041971c3db7f64bc469576b842979459e8fd69beec5f8cb21f4add510aac,26/11/2021 16:05,y,1,,
67,11,bec4c34e037d1d5e4884281d6544dc7040c42bb7a884a3587331823cbfab5dfe,25/11/2021 22:26,y,1,,
67,26,cd51e07ecd3b6f0842a15dbf320ace1d5f048272079686cf89ad8585619d1760,25/11/2021 20:35,y,1,,
68,10,0f27a908326e75a54ecf69ae08e5f60624e22937c1293299d69a9036353c77cd,25/11/2021 17:37,y,,2,
68,11,7504ad270561de62a2b3177ac76688ddf8fa51a69edf3e12c1c2cca459d6075c,25/11/2021 17:14,y,,2,
66,25,1c2d927d62632e71b68e8073afc2154df1c00b6f51da06a06b202dc9e260bb0e,25/11/2021 16:48,y,1,,
67,25,80b386d53b5e364dee5f3e66d20bb336533ab06a79a3f41a40fd92f21218765c,25/11/2021 15:24,y,1,,
68,10,edb7b5016b1a66f705530ebce57064cfc3e6ef9b4492ecd1c9b86213b841509c,25/11/2021 15:23,y,,2,
68,25,9ef16ea3bc12b8b186a4d0da24a3b4e87173f95faaeef966d4d46cb346cc1450,25/11/2021 15:20,y,1,,
68,25,5d7883ee90c6e85f0c0757fb00b148aa551a22b6c7d546796bec7c2fa727e15d,25/11/2021 15:18,y,1,,
67,28,8850ee108968ea6ef620dee4a921bfa04528d7b652c69de1723c4c50b6d91f62,25/11/2021 15:01,y,1,,
68,26,c9e1cbfb3325fb944cfb017d80d3fa313ffb5c53d5859c75a4bb624025e0256f,25/11/2021 14:48,y,1,,
56,0,8a4cf41419ceaae40f5ef4ba0085911190c06b4d940c6e7db622f049d7d8c01d,25/11/2021 14:27,y,Unknown - Fragment of PE,,
